rainfall_mm,rainfall_3day_mm,soil_moisture_pct,slope_deg,elevation_m,risk_probability_pct,risk_level
33.3,100.3,41.8,13.9,980.0,31.8,MEDIUM
83.6,125.0,44.2,54.7,2337.0,53.0,MEDIUM
52.8,81.8,33.3,11.0,2906.0,17.2,LOW
117.5,245.0,55.0,1.1,2966.0,49.1,MEDIUM
104.8,141.6,67.9,13.5,1879.0,49.7,MEDIUM
55.8,97.3,34.0,29.6,650.0,25.0,LOW
24.8,16.4,29.1,20.9,2899.0,26.7,LOW
50.9,75.4,40.8,54.5,1716.0,47.1,MEDIUM
106.5,229.1,72.8,32.7,307.0,46.8,MEDIUM
120.7,335.2,70.1,7.1,428.0,52.5,MEDIUM
53.0,115.3,59.0,37.5,1816.0,42.7,MEDIUM
13.5,64.4,32.7,23.3,2539.0,31.2,MEDIUM
21.4,99.4,43.0,40.7,2836.0,35.1,MEDIUM
100.7,297.8,94.4,47.2,2844.0,95.5,CRITICAL
55.1,150.8,41.0,59.1,1820.0,45.8,MEDIUM
56.1,133.1,58.6,34.6,2948.0,44.3,MEDIUM
32.8,79.9,54.0,22.0,619.0,27.3,LOW
32.2,73.8,44.8,26.0,465.0,35.7,MEDIUM
135.2,315.9,76.0,24.2,285.0,56.5,MEDIUM
103.2,252.8,93.4,27.0,2368.0,85.6,CRITICAL
45.5,124.2,48.5,1.8,2766.0,30.4,MEDIUM
79.3,230.5,67.0,14.8,2552.0,40.1,MEDIUM
89.3,188.0,54.2,59.3,2831.0,58.4,MEDIUM
211.8,554.1,100.0,55.7,1735.0,100.0,CRITICAL
29.9,86.7,54.6,2.9,2337.0,18.6,LOW
88.5,92.7,40.6,58.8,1143.0,47.9,MEDIUM
134.7,287.3,47.8,47.5,2346.0,69.7,HIGH
196.2,288.6,79.4,0.2,2309.0,69.6,HIGH
43.6,65.5,26.9,54.8,1420.0,44.3,MEDIUM
54.6,113.6,55.9,57.6,323.0,60.4,HIGH
118.3,230.0,64.5,37.7,946.0,59.7,MEDIUM
17.9,45.0,48.1,47.3,2679.0,44.6,MEDIUM
94.7,153.5,41.6,20.0,1844.0,38.2,MEDIUM
261.1,323.7,72.1,34.3,1334.0,89.9,CRITICAL
101.7,231.2,60.6,43.9,2853.0,57.4,MEDIUM
6.8,0.0,12.2,33.7,1226.0,32.1,MEDIUM
37.0,110.2,59.9,18.3,1119.0,44.7,MEDIUM
44.8,102.8,25.9,39.0,2357.0,34.0,MEDIUM
155.5,271.2,83.8,50.3,1195.0,96.3,CRITICAL
66.2,142.6,56.5,50.2,1449.0,54.2,MEDIUM
13.7,0.0,27.6,7.9,2223.0,14.2,LOW
71.9,187.7,62.3,26.7,1404.0,46.5,MEDIUM
82.8,221.8,67.1,2.3,1102.0,41.4,MEDIUM
49.6,103.9,40.8,38.0,243.0,40.1,MEDIUM
31.7,27.5,37.7,14.5,2610.0,35.3,MEDIUM
279.1,313.9,85.9,55.8,1675.0,100.0,CRITICAL
135.0,266.0,58.6,37.1,2584.0,60.6,HIGH
143.2,251.6,71.9,24.0,1930.0,66.4,HIGH
66.3,187.6,26.6,43.9,762.0,33.3,MEDIUM
43.0,116.1,24.3,12.4,1217.0,21.9,LOW
51.6,76.5,48.2,5.5,1368.0,25.3,LOW
22.6,50.3,32.5,5.2,2271.0,24.0,LOW
209.2,424.9,83.5,35.0,1735.0,100.0,CRITICAL
68.3,76.2,40.8,53.3,1982.0,47.7,MEDIUM
179.3,404.9,86.0,13.4,2309.0,70.5,HIGH
53.6,123.0,36.6,45.6,967.0,38.7,MEDIUM
102.8,259.8,49.3,2.3,2670.0,47.7,MEDIUM
86.2,131.1,26.1,21.2,1469.0,34.4,MEDIUM
20.3,36.0,44.3,39.2,2051.0,33.7,MEDIUM
226.3,587.2,100.0,49.6,811.0,100.0,CRITICAL
54.9,158.1,65.3,56.6,853.0,58.4,MEDIUM
27.3,50.3,32.4,38.0,2258.0,29.4,LOW
118.9,232.3,69.1,27.8,1181.0,48.1,MEDIUM
74.7,190.2,57.0,3.6,2653.0,38.1,MEDIUM
96.4,156.6,54.0,16.5,2061.0,37.4,MEDIUM
80.4,150.1,53.6,55.4,2063.0,46.7,MEDIUM
7.8,31.4,29.4,35.0,1265.0,21.2,LOW
35.9,28.2,19.5,20.6,2727.0,31.3,MEDIUM
34.7,94.4,53.4,14.9,2845.0,37.4,MEDIUM
141.8,235.3,84.4,6.8,922.0,69.0,HIGH
76.8,104.7,65.6,45.1,1641.0,50.3,MEDIUM
107.1,176.3,49.8,24.7,2739.0,58.1,MEDIUM
57.5,118.7,39.0,56.2,484.0,45.7,MEDIUM
110.8,265.4,63.2,27.3,1033.0,52.0,MEDIUM
66.4,84.8,40.6,49.1,2872.0,46.7,MEDIUM
62.7,90.0,42.9,7.8,1558.0,25.8,LOW
85.7,157.8,41.7,9.1,2864.0,39.0,MEDIUM
80.4,127.2,31.3,16.4,1264.0,39.3,MEDIUM
336.9,797.1,100.0,11.5,1677.0,81.0,CRITICAL
35.5,81.5,5.0,58.6,1472.0,37.1,MEDIUM
18.1,34.5,34.0,48.5,1480.0,42.6,MEDIUM
94.9,135.1,38.9,20.9,2770.0,51.3,MEDIUM
40.1,100.8,54.5,31.2,2145.0,34.1,MEDIUM
6.6,0.0,42.6,32.0,2848.0,30.5,MEDIUM
28.7,62.8,52.3,36.4,1123.0,41.8,MEDIUM
290.7,591.8,100.0,6.2,2983.0,76.2,HIGH
34.7,78.8,28.2,20.9,2181.0,20.7,LOW
12.2,53.4,28.2,5.2,568.0,13.6,LOW
279.2,711.7,100.0,55.1,1356.0,100.0,CRITICAL
27.6,99.6,25.2,24.2,896.0,25.1,LOW
400.0,505.7,100.0,43.6,859.0,100.0,CRITICAL
55.6,117.1,43.6,55.2,2803.0,61.1,HIGH
226.9,499.7,100.0,18.6,2888.0,85.5,CRITICAL
61.6,131.6,28.4,5.3,240.0,26.6,LOW
103.2,159.7,42.8,20.2,587.0,43.9,MEDIUM
67.5,126.0,26.0,40.3,978.0,30.1,MEDIUM
62.0,158.9,66.1,30.0,2574.0,58.5,MEDIUM
89.3,131.9,47.9,4.5,1911.0,38.8,MEDIUM
105.9,130.6,56.5,4.2,1783.0,40.0,MEDIUM
84.4,148.9,53.1,42.0,1875.0,59.3,MEDIUM
78.1,187.0,63.7,44.2,2862.0,58.4,MEDIUM
40.4,97.5,40.6,6.6,972.0,29.3,LOW
69.5,147.0,49.6,47.7,545.0,37.1,MEDIUM
208.6,546.5,100.0,20.7,1902.0,91.2,CRITICAL
38.8,104.3,50.5,4.1,2913.0,30.0,MEDIUM
91.2,180.3,62.2,20.0,2188.0,49.6,MEDIUM
167.7,225.3,97.5,43.8,2698.0,90.7,CRITICAL
106.5,126.1,69.1,39.3,2709.0,58.0,MEDIUM
142.8,323.0,57.1,28.9,814.0,59.2,MEDIUM
27.2,40.8,34.4,16.8,2120.0,18.7,LOW
91.4,144.5,46.8,25.1,2614.0,48.2,MEDIUM
59.3,165.4,70.2,22.9,484.0,52.3,MEDIUM
61.3,126.6,45.2,23.4,2024.0,30.5,MEDIUM
197.1,279.1,77.4,29.4,962.0,89.9,CRITICAL
62.1,159.9,25.9,27.3,2501.0,36.0,MEDIUM
93.5,189.6,40.3,6.1,825.0,31.1,MEDIUM
12.2,54.3,63.3,17.4,1246.0,30.0,LOW
226.8,486.7,100.0,7.7,2095.0,82.5,CRITICAL
137.2,163.9,42.6,36.1,1756.0,56.4,MEDIUM
71.5,112.1,49.7,25.4,536.0,31.7,MEDIUM
57.2,104.3,33.0,40.3,831.0,45.9,MEDIUM
114.2,231.0,61.3,5.3,2680.0,48.0,MEDIUM
166.3,329.9,62.1,20.7,2969.0,69.1,HIGH
228.8,556.1,100.0,10.8,2143.0,91.3,CRITICAL
134.1,280.5,67.1,5.5,227.0,37.2,MEDIUM
78.9,159.8,67.4,46.4,2282.0,62.3,HIGH
148.4,218.0,68.3,7.9,2000.0,52.4,MEDIUM
130.2,197.3,67.3,10.5,1353.0,55.6,MEDIUM
79.2,159.3,53.6,22.0,839.0,36.8,MEDIUM
127.6,261.7,79.1,17.6,664.0,61.9,HIGH
126.0,343.3,71.0,55.2,434.0,62.6,HIGH
71.2,128.6,40.5,59.3,1990.0,51.2,MEDIUM
48.7,109.5,51.3,25.3,1144.0,38.7,MEDIUM
118.5,178.3,53.4,12.1,1650.0,44.1,MEDIUM
30.2,89.9,43.3,29.9,1671.0,28.7,LOW
24.2,43.7,34.6,29.7,1900.0,28.3,LOW
94.6,237.5,80.7,28.0,1865.0,79.1,HIGH
116.2,216.4,78.1,1.2,1653.0,56.6,MEDIUM
94.1,154.1,45.6,7.7,634.0,46.3,MEDIUM
101.7,203.8,39.4,8.5,276.0,38.8,MEDIUM
114.8,217.0,54.0,21.1,1813.0,52.2,MEDIUM
197.6,395.4,78.6,34.8,1385.0,98.0,CRITICAL
135.7,242.2,76.3,52.7,1348.0,96.2,CRITICAL
132.9,392.1,99.9,13.4,1404.0,70.4,HIGH
89.4,115.1,34.9,46.3,518.0,46.5,MEDIUM
91.8,220.1,54.0,13.6,702.0,40.1,MEDIUM
66.8,208.4,43.5,2.0,2054.0,32.2,MEDIUM
99.6,236.6,67.1,39.0,1639.0,62.5,HIGH
28.8,61.2,38.6,12.9,1907.0,20.9,LOW
198.2,408.2,100.0,55.2,562.0,100.0,CRITICAL
36.7,49.0,43.3,56.0,2480.0,42.4,MEDIUM
135.5,294.9,81.6,6.3,1243.0,52.9,MEDIUM
181.7,356.2,64.9,11.7,1917.0,67.7,HIGH
135.3,340.9,73.6,12.6,1504.0,62.9,HIGH
307.8,799.4,100.0,54.7,1511.0,100.0,CRITICAL
8.4,30.8,28.2,4.7,2380.0,19.2,LOW
51.4,84.2,23.1,45.1,509.0,37.3,MEDIUM
179.7,307.4,85.8,17.3,409.0,43.4,MEDIUM
23.3,64.4,32.7,34.9,483.0,24.6,LOW
37.7,105.1,58.5,10.6,2987.0,37.9,MEDIUM
109.8,241.6,66.0,48.4,2796.0,61.1,HIGH
78.2,187.1,54.7,40.2,2162.0,59.1,MEDIUM
105.0,264.9,86.1,1.3,1453.0,55.1,MEDIUM
83.3,154.0,37.5,14.2,438.0,31.9,MEDIUM
89.1,105.9,63.1,28.0,2499.0,46.1,MEDIUM
41.1,96.7,36.8,31.9,730.0,33.9,MEDIUM
87.0,221.6,65.2,49.6,964.0,58.3,MEDIUM
54.4,85.5,44.9,23.2,2554.0,41.1,MEDIUM
60.6,122.2,43.2,55.6,921.0,31.3,MEDIUM
134.2,267.1,60.9,11.6,2565.0,50.0,MEDIUM
22.1,52.2,33.4,51.5,2401.0,32.1,MEDIUM
4.7,15.3,20.1,54.3,2544.0,16.2,LOW
127.5,239.2,89.4,37.6,2088.0,82.1,CRITICAL
87.1,114.9,41.5,58.1,1186.0,39.9,MEDIUM
181.6,342.3,95.3,24.6,2029.0,74.8,HIGH
38.6,110.9,59.0,42.0,2522.0,45.2,MEDIUM
69.4,183.3,61.9,0.6,2298.0,39.8,MEDIUM
80.5,173.4,54.4,16.5,2614.0,42.3,MEDIUM
45.5,114.5,49.5,34.0,2954.0,33.1,MEDIUM
34.3,88.1,50.1,52.6,2132.0,47.0,MEDIUM
132.0,295.8,75.6,57.2,2799.0,100.0,CRITICAL
19.9,67.0,21.2,34.8,961.0,34.1,MEDIUM
29.3,74.8,19.4,51.4,2926.0,40.9,MEDIUM
67.6,138.9,68.9,48.0,2749.0,55.8,MEDIUM
142.9,300.0,43.4,46.4,315.0,59.4,MEDIUM
48.1,127.2,51.4,6.7,1853.0,27.6,LOW
43.0,49.9,34.7,28.7,1608.0,33.7,MEDIUM
64.5,161.2,56.1,29.2,2484.0,40.4,MEDIUM
98.1,145.5,38.1,47.2,554.0,50.6,MEDIUM
56.8,102.3,49.5,35.2,1677.0,39.0,MEDIUM
155.7,321.8,80.7,49.2,1604.0,82.0,CRITICAL
160.2,392.4,100.0,57.4,1308.0,95.8,CRITICAL
67.6,128.1,50.8,33.3,2978.0,54.3,MEDIUM
255.0,441.7,100.0,47.5,1711.0,100.0,CRITICAL
79.1,89.5,25.4,33.6,1357.0,16.8,LOW
156.5,288.0,85.4,37.5,2598.0,86.9,CRITICAL
96.1,186.7,60.7,28.6,589.0,54.5,MEDIUM
94.8,184.7,60.9,57.6,1005.0,55.4,MEDIUM
15.4,11.0,35.1,49.1,981.0,36.0,MEDIUM
27.0,85.7,63.3,45.1,2814.0,45.6,MEDIUM
59.2,152.2,55.9,19.8,2665.0,43.0,MEDIUM
159.3,263.0,60.0,29.1,1899.0,64.1,HIGH
97.1,225.6,56.5,51.8,1095.0,54.3,MEDIUM
59.7,125.4,58.6,56.2,1511.0,54.0,MEDIUM
117.0,334.0,85.5,59.9,1799.0,98.3,CRITICAL
155.3,289.1,55.0,44.1,1712.0,71.6,HIGH
75.4,162.1,60.5,43.9,917.0,53.4,MEDIUM
88.7,160.4,41.1,5.6,565.0,26.8,LOW
80.4,242.7,71.7,45.1,2741.0,69.2,HIGH
71.7,175.6,46.7,20.8,1994.0,38.5,MEDIUM
38.2,106.6,42.6,51.9,606.0,44.2,MEDIUM
35.6,67.3,33.6,0.7,2972.0,25.8,LOW
116.5,158.6,72.0,56.1,1352.0,68.6,HIGH
157.4,347.0,86.9,29.0,2252.0,95.4,CRITICAL
59.6,119.6,63.1,7.7,695.0,38.8,MEDIUM
58.5,170.0,90.2,36.1,2812.0,65.8,HIGH
11.0,11.9,32.3,41.5,422.0,23.6,LOW
8.6,17.4,50.6,46.8,2876.0,31.3,MEDIUM
185.4,443.6,88.1,42.1,2236.0,94.5,CRITICAL
40.5,45.1,51.8,33.2,836.0,45.4,MEDIUM
321.8,449.5,87.7,4.9,707.0,67.1,HIGH
47.0,78.9,41.6,51.8,2544.0,38.2,MEDIUM
16.0,29.6,40.9,59.0,312.0,33.3,MEDIUM
80.9,204.6,69.0,46.7,520.0,52.5,MEDIUM
131.0,289.8,58.2,2.1,2084.0,62.6,HIGH
120.9,214.4,51.8,45.3,417.0,56.6,MEDIUM
140.2,226.2,71.3,16.2,1715.0,59.1,MEDIUM
31.6,62.0,34.9,57.7,1807.0,34.3,MEDIUM
182.4,424.8,77.0,3.8,250.0,52.8,MEDIUM
189.7,493.4,100.0,5.5,1256.0,70.9,HIGH
195.3,468.1,98.8,10.9,280.0,70.6,HIGH
91.0,167.0,57.2,45.2,2907.0,54.0,MEDIUM
55.9,137.5,57.0,39.1,803.0,36.3,MEDIUM
51.8,78.4,47.4,43.6,2131.0,46.4,MEDIUM
15.9,6.3,21.7,21.2,2087.0,19.3,LOW
47.9,91.8,38.8,52.8,2362.0,35.3,MEDIUM
4.2,0.0,41.1,26.8,1139.0,25.3,LOW
13.5,38.4,29.2,8.0,716.0,19.8,LOW
90.3,157.3,48.9,46.0,1685.0,61.2,HIGH
61.2,134.2,32.1,31.8,2144.0,25.5,LOW
87.4,242.8,66.1,35.6,2315.0,54.2,MEDIUM
124.0,217.2,66.7,23.1,337.0,44.4,MEDIUM
99.7,151.9,29.1,42.6,2307.0,46.5,MEDIUM
93.6,198.1,46.9,2.1,515.0,42.2,MEDIUM
70.1,77.4,24.5,29.5,1669.0,30.6,MEDIUM
39.2,86.3,52.4,25.6,1755.0,33.7,MEDIUM
23.4,61.6,16.3,44.8,556.0,25.3,LOW
48.9,108.0,45.2,16.0,2899.0,44.1,MEDIUM
71.0,97.4,53.2,14.0,1986.0,23.1,LOW
78.0,163.2,56.7,19.2,827.0,37.7,MEDIUM
140.4,206.3,55.7,28.8,343.0,49.0,MEDIUM
66.1,102.3,49.5,12.6,2370.0,25.5,LOW
111.6,205.9,73.3,41.1,2556.0,71.6,HIGH
18.4,41.4,34.9,19.9,454.0,11.3,LOW
91.3,139.3,24.0,25.3,921.0,33.9,MEDIUM
86.6,163.3,68.3,33.5,1999.0,53.7,MEDIUM
182.5,259.7,73.8,22.6,1373.0,61.7,HIGH
61.3,99.2,44.5,42.1,1159.0,33.7,MEDIUM
59.2,83.0,18.7,39.4,1388.0,35.0,MEDIUM
124.6,270.4,67.0,45.4,1615.0,63.0,HIGH
25.3,25.0,23.2,31.4,717.0,30.0,MEDIUM
89.5,229.7,49.9,22.0,1287.0,49.0,MEDIUM
24.0,9.0,29.7,12.1,396.0,28.3,LOW
238.4,459.3,92.5,26.2,217.0,83.8,CRITICAL
53.0,68.7,34.7,52.4,2931.0,47.2,MEDIUM
22.5,93.3,52.9,7.3,353.0,21.2,LOW
48.6,121.4,51.3,12.9,322.0,40.4,MEDIUM
89.9,130.2,43.6,39.9,2692.0,51.2,MEDIUM
109.1,276.7,64.0,34.5,2933.0,61.7,HIGH
176.1,303.1,70.0,55.0,2565.0,81.9,CRITICAL
43.8,97.0,41.6,1.7,591.0,17.8,LOW
128.6,281.0,79.2,52.7,1991.0,84.4,CRITICAL
13.5,40.3,23.5,43.5,2151.0,36.1,MEDIUM
29.5,61.9,56.8,46.5,2361.0,49.8,MEDIUM
19.0,41.9,43.3,22.7,516.0,29.3,LOW
37.2,79.6,9.1,18.4,1294.0,20.5,LOW
124.6,237.4,66.6,0.9,973.0,46.7,MEDIUM
44.7,113.1,59.5,47.2,2033.0,55.2,MEDIUM
52.2,114.7,51.9,9.7,1162.0,24.4,LOW
91.7,248.0,62.2,13.6,1625.0,47.0,MEDIUM
105.8,151.1,51.9,16.6,1954.0,27.1,LOW
53.5,107.1,48.2,52.2,2624.0,53.1,MEDIUM
29.3,39.3,45.1,17.3,2779.0,24.8,LOW
212.9,322.2,61.3,25.5,2142.0,68.3,HIGH
53.8,89.1,36.1,44.8,638.0,39.9,MEDIUM
58.4,117.6,67.3,53.5,2689.0,58.2,MEDIUM
64.5,104.0,46.0,47.5,773.0,59.9,MEDIUM
114.0,244.9,85.1,32.1,349.0,66.7,HIGH
17.4,55.2,74.1,0.1,1424.0,20.6,LOW
268.6,424.0,87.7,9.5,2117.0,78.6,HIGH
57.1,53.2,23.6,15.2,618.0,18.9,LOW
116.7,139.4,47.7,24.8,1038.0,51.2,MEDIUM
22.7,32.3,48.0,21.7,424.0,25.3,LOW
85.0,146.9,66.9,30.9,1931.0,56.9,MEDIUM
241.7,568.1,100.0,24.7,2183.0,88.8,CRITICAL
219.6,343.8,81.1,43.6,1655.0,100.0,CRITICAL
114.6,156.1,59.3,3.1,1444.0,34.9,MEDIUM
35.0,55.4,29.8,59.7,2574.0,51.1,MEDIUM
169.8,300.7,45.0,50.6,1374.0,58.7,MEDIUM
13.4,38.0,35.2,20.1,1437.0,19.4,LOW
33.8,94.2,30.3,23.8,1817.0,21.5,LOW
70.4,111.2,54.4,57.8,2171.0,56.7,MEDIUM
14.8,0.0,7.4,56.1,2376.0,31.8,MEDIUM
48.5,111.8,37.9,23.6,314.0,23.8,LOW
130.5,285.7,76.1,3.6,2583.0,60.8,HIGH
40.7,102.7,49.9,59.3,1464.0,40.6,MEDIUM
134.8,340.8,80.5,39.2,2736.0,91.9,CRITICAL
316.0,658.7,100.0,41.6,1702.0,100.0,CRITICAL
99.9,230.7,83.4,16.5,1532.0,52.4,MEDIUM
133.2,301.6,67.0,49.1,747.0,73.5,HIGH
173.8,390.3,100.0,33.4,1515.0,96.1,CRITICAL
52.4,139.9,72.1,28.2,1580.0,48.3,MEDIUM
131.0,240.5,64.6,44.5,2705.0,66.7,HIGH
51.4,124.8,49.3,22.3,2684.0,28.0,LOW
94.8,186.5,57.4,25.8,1562.0,48.3,MEDIUM
145.0,221.7,55.5,39.1,2629.0,59.7,MEDIUM
36.5,60.1,32.5,38.4,2592.0,45.9,MEDIUM
4.8,0.0,45.8,58.3,2855.0,28.9,LOW
33.4,102.1,50.6,33.8,1212.0,45.7,MEDIUM
160.0,255.3,61.6,19.3,794.0,56.1,MEDIUM
29.6,67.2,29.0,17.2,2843.0,29.1,LOW
154.0,324.7,69.6,32.0,1838.0,60.8,HIGH
33.6,66.1,37.9,7.2,1507.0,20.8,LOW
62.9,112.4,57.8,35.3,1352.0,41.6,MEDIUM
74.2,168.7,45.0,23.4,437.0,51.5,MEDIUM
29.5,79.0,52.7,21.1,771.0,26.7,LOW
63.4,127.6,51.5,11.5,1016.0,40.3,MEDIUM
15.9,10.4,33.3,29.7,1744.0,34.4,MEDIUM
56.4,130.5,61.9,2.3,1647.0,39.3,MEDIUM
69.6,69.4,50.5,36.4,1720.0,40.7,MEDIUM
5.2,12.7,15.0,17.1,414.0,23.7,LOW
33.1,64.6,26.7,54.3,227.0,45.9,MEDIUM
92.6,123.5,45.8,31.6,1497.0,48.0,MEDIUM
26.3,25.5,38.1,46.8,742.0,32.3,MEDIUM
104.1,272.8,87.3,51.1,2697.0,81.8,CRITICAL
111.6,259.3,69.7,52.7,1407.0,68.4,HIGH
92.3,156.1,73.9,52.2,1186.0,59.7,MEDIUM
129.9,290.1,65.0,13.5,1723.0,55.9,MEDIUM
14.8,67.7,33.7,18.2,1960.0,16.9,LOW
149.5,177.0,52.9,42.5,430.0,60.1,HIGH
30.0,30.6,24.8,32.3,2276.0,37.2,MEDIUM
80.9,225.7,77.8,36.6,585.0,76.3,HIGH
235.4,578.1,83.5,40.7,1283.0,100.0,CRITICAL
55.4,157.7,47.6,6.9,1199.0,30.2,MEDIUM
75.7,149.3,66.2,10.1,1794.0,31.9,MEDIUM
30.1,65.8,36.1,38.3,2131.0,33.0,MEDIUM
233.9,398.8,100.0,37.5,2442.0,100.0,CRITICAL
33.2,65.0,66.1,49.0,1676.0,50.6,MEDIUM
118.6,303.0,76.4,41.6,635.0,77.4,HIGH
173.5,282.5,86.4,12.5,2149.0,60.1,HIGH
126.7,159.7,83.0,4.2,1541.0,53.7,MEDIUM
96.6,181.8,62.1,23.5,1849.0,47.4,MEDIUM
80.0,176.6,55.9,22.3,1442.0,39.4,MEDIUM
22.5,57.9,49.5,46.0,1366.0,45.1,MEDIUM
227.0,569.0,100.0,40.3,2164.0,100.0,CRITICAL
90.8,152.3,52.4,52.3,1668.0,53.4,MEDIUM
75.7,107.8,40.4,30.3,2630.0,41.1,MEDIUM
27.7,43.1,57.1,17.3,2282.0,34.3,MEDIUM
78.6,226.2,60.7,30.3,1534.0,54.4,MEDIUM
72.1,106.6,60.3,12.9,800.0,37.3,MEDIUM
235.4,496.6,100.0,3.6,249.0,77.2,HIGH
75.7,77.4,63.5,30.0,775.0,40.1,MEDIUM
77.6,201.8,50.1,24.8,988.0,40.5,MEDIUM
28.1,72.4,30.7,1.9,531.0,14.7,LOW
39.5,42.3,46.6,43.3,2073.0,36.2,MEDIUM
108.8,195.5,45.8,38.7,1113.0,46.7,MEDIUM
11.7,38.9,37.2,4.4,285.0,13.9,LOW
149.0,264.9,88.3,42.6,1423.0,95.4,CRITICAL
151.8,395.1,67.9,5.0,2396.0,48.0,MEDIUM
35.8,73.2,45.8,31.1,1151.0,32.7,MEDIUM
96.9,205.5,75.4,37.3,2727.0,78.5,HIGH
177.4,457.8,98.4,29.9,2588.0,100.0,CRITICAL
67.6,108.7,35.2,44.8,2690.0,58.1,MEDIUM
57.9,96.8,41.4,23.1,2070.0,34.9,MEDIUM
63.9,113.7,37.0,12.8,2458.0,44.9,MEDIUM
90.7,136.7,51.3,29.2,1289.0,48.6,MEDIUM
44.1,84.0,39.3,20.5,2141.0,37.4,MEDIUM
54.0,64.7,33.5,9.1,827.0,17.2,LOW
92.0,188.8,63.9,28.3,773.0,52.4,MEDIUM
50.4,75.0,60.2,12.1,2842.0,40.7,MEDIUM
25.7,55.5,42.3,28.2,1737.0,28.0,LOW
10.5,29.8,50.6,35.6,401.0,15.7,LOW
76.8,111.9,65.7,46.9,752.0,53.3,MEDIUM
170.0,198.7,52.8,51.2,1492.0,65.7,HIGH
100.4,187.0,61.4,40.1,2568.0,67.4,HIGH
26.7,43.8,31.5,53.6,2709.0,35.0,MEDIUM
39.2,55.3,20.5,33.5,518.0,23.8,LOW
57.6,151.0,56.9,42.6,374.0,40.2,MEDIUM
240.4,353.6,70.4,46.2,541.0,78.5,HIGH
249.0,590.8,100.0,49.5,2080.0,100.0,CRITICAL
230.0,470.8,81.9,45.1,1692.0,98.0,CRITICAL
82.9,183.9,59.6,54.1,2266.0,50.0,MEDIUM
400.0,898.1,100.0,28.4,1861.0,100.0,CRITICAL
41.0,53.4,46.1,57.2,468.0,51.5,MEDIUM
55.9,131.4,45.0,24.0,921.0,40.7,MEDIUM
141.1,367.2,79.2,4.2,1128.0,66.8,HIGH
92.4,228.2,77.7,10.9,2182.0,48.0,MEDIUM
96.3,122.1,44.5,33.5,1871.0,39.3,MEDIUM
31.2,78.9,43.2,0.9,2851.0,20.9,LOW
71.7,83.4,40.1,9.4,607.0,27.3,LOW
41.5,57.3,44.7,22.4,2828.0,34.2,MEDIUM
20.9,0.0,42.5,37.5,816.0,30.0,MEDIUM
45.9,93.1,54.0,9.9,1162.0,33.4,MEDIUM
92.4,187.6,52.5,34.5,297.0,44.3,MEDIUM
125.4,332.7,94.4,39.8,1030.0,82.8,CRITICAL
10.0,24.4,22.7,45.8,759.0,21.8,LOW
74.3,158.8,44.9,39.6,808.0,47.7,MEDIUM
69.2,159.4,52.4,15.0,1802.0,39.6,MEDIUM
88.9,246.9,79.6,59.8,2386.0,88.2,CRITICAL
27.2,63.9,25.5,53.3,2286.0,46.4,MEDIUM
27.7,22.6,44.1,22.4,2522.0,23.4,LOW
173.1,231.3,64.0,1.8,2248.0,54.2,MEDIUM
36.3,78.3,36.5,31.7,2934.0,35.1,MEDIUM
